date_id,vehicle_id,total_distance_km,running_hours,idle_hours,avg_speed,max_speed,trip_count,anomaly_count
20250123,VH_0145,483.809,4.272,0.178,55.97,111.17,2,68
20250123,VH_0299,345.533,11.99,0.14,57.27,111.51,3,305
20250123,VH_0244,298.332,9.904,0.136,56.14,109.61,2,57
20250123,VH_0130,234.873,4.137,0.151,35.61,69.79,2,133
20250123,VH_0182,147.089,49.048,0.187,35.74,69.27,2,128
20250123,VH_0213,96.265,13.466,0.06,51.75,96.75,1,40
20250123,VH_0149,14979.349,22.727,0.253,56.82,111.92,4,337
20250123,VH_0011,433.24,7.855,0.204,55.38,109.89,2,61
20250123,VH_0298,287.793,23.545,7.263,36.42,67.59,3,119
20250123,VH_0087,469.958,8.383,0.914,49.48,97.88,2,149
20250123,VH_0226,351.581,26.098,0.268,49.48,97.9,2,150
20250123,VH_0172,127.493,30.099,0.074,35.52,68.45,2,46
20250123,VH_0055,245.181,21.983,18.627,49.64,96.83,1,75
20250123,VH_0142,520.947,25.889,0.294,56.34,111.62,3,97
20250123,VH_0094,151.474,29.849,0.184,36.38,69.64,3,151
20250123,VH_0184,293.364,29.853,0.141,49.88,97.95,2,103
20250123,VH_0255,110.857,23.379,0.062,35.91,69.62,4,59
20250123,VH_0078,77.946,19.998,0.035,58.03,111.41,1,18
20250123,VH_0285,101.449,33.949,0.057,37.11,69.88,1,80
20250123,VH_0091,126.478,26.582,0.037,57.02,107.66,1,18
20250123,VH_0123,80.061,28.649,0.041,36.49,68.27,1,44
20250124,VH_0220,170.993,13.898,0.031,55.38,101.11,3,9
20250124,VH_0072,114.862,16.436,0.065,50.33,97.63,2,51
20250124,VH_0067,197.311,27.397,0.144,36.76,68.31,3,142
20250124,VH_0143,823.832,23.874,0.319,50.21,97.15,3,316
20250124,VH_0272,20227.35,12.203,2.358,55.74,111.87,4,959
20250124,VH_0256,218.843,26.247,0.178,56.35,111.58,2,41
20250124,VH_0095,259.597,3.022,0.079,35.83,69.91,2,78
20250124,VH_0107,185.329,24.586,0.326,36.53,69.7,4,135
20250124,VH_0048,397.45,10.506,0.185,57.6,111.62,2,119
