trip_id,vehicle_id,driver_id,origin_city,destination_city,status,planned_start,planned_end,actual_start,actual_end,actual_distance_km,avg_speed,max_speed,idle_time_mins,stoppage_count
TRP_000001,VH_0002,DRV_0302,Lucknow,Lucknow,COMPLETED,2025-01-20 08:00:00,2025-01-20 09:57:00,2025-01-20 08:00:00.861,2025-01-20 09:57:00.45,69.357,48.81,97.37,6.25,1
TRP_000002,VH_0002,DRV_0302,Lucknow,Lucknow,COMPLETED,2025-01-20 14:00:00,2025-01-20 17:43:00,2025-01-20 14:00:00.964,2025-01-20 17:43:00.499,155.023,49.86,97.92,13.05,1
TRP_000003,VH_0003,DRV_0303,Jaipur,Bangalore,COMPLETED,2025-01-20 11:52:00,2025-01-20 13:04:00,2025-01-20 11:52:00.398,2025-01-20 13:04:00.491,51.805,56.42,110.78,5.15,1
TRP_000004,VH_0004,DRV_0304,Chennai,Mumbai,COMPLETED,2025-01-20 10:41:00,2025-01-20 12:14:00,2025-01-20 10:41:00.946,2025-01-20 12:14:00.042,43.227,35.76,69.26,5.47,1
TRP_000005,VH_0004,DRV_0304,Chennai,Chennai,COMPLETED,2025-01-20 13:43:00,2025-01-20 14:21:00,2025-01-20 13:43:00.415,2025-01-20 14:21:00.849,74.371,35.99,60.65,2.4,1
TRP_000006,VH_0004,DRV_0304,Chennai,Chennai,COMPLETED,2025-01-20 18:32:00,2025-01-20 19:20:00,2025-01-20 18:32:00.706,2025-01-20 19:20:00.857,66.436,37.26,69.93,1.93,1
TRP_000007,VH_0004,DRV_0304,Chennai,Mumbai,COMPLETED,2025-01-20 19:25:00,2025-01-20 20:34:00,2025-01-20 19:25:00.111,2025-01-20 20:34:00.648,32.083,35.72,68.28,3.45,1
TRP_000008,VH_0006,DRV_0006,Ahmedabad,Ahmedabad,COMPLETED,2025-01-20 10:16:00,2025-01-20 11:59:00,2025-01-20 10:16:00.484,2025-01-20 11:59:00.644,68.385,49.38,93.85,3.75,1
TRP_000009,VH_0006,DRV_0006,Ahmedabad,Ahmedabad,COMPLETED,2025-01-20 20:44:00,2025-01-21 00:17:00,2025-01-20 20:44:00.614,2025-01-21 00:17:00.989,207.437,50.01,97.95,11.1,1
TRP_000010,VH_0007,DRV_0007,Hyderabad,Hyderabad,IN_PROGRESS,2025-01-20 10:46:00,2025-01-20 13:36:00,2025-01-20 10:46:00.846,2025-01-20 13:36:00.476,184.68,56.96,111.08,7.73,1
TRP_000011,VH_0008,DRV_0008,Mumbai,Mumbai,COMPLETED,2025-01-20 14:37:00,2025-01-20 17:28:00,2025-01-20 14:37:00.522,2025-01-20 17:28:00.282,131.064,57.29,111.12,8.42,1
TRP_000012,VH_0008,DRV_0008,Mumbai,Lucknow,COMPLETED,2025-01-20 21:01:00,2025-01-20 23:43:00,2025-01-20 21:01:00.325,2025-01-20 23:43:00.018,161.526,56.16,111.64,9.58,1
TRP_000013,VH_0009,DRV_0309,Pune,Jaipur,COMPLETED,2025-01-20 18:41:00,2025-01-20 20:41:00,2025-01-20 18:41:00.571,2025-01-20 20:41:00.633,130.329,58.18,109.85,5.63,1
TRP_000014,VH_0009,DRV_0309,Pune,Pune,COMPLETED,2025-01-20 20:12:00,2025-01-20 22:21:00,2025-01-20 20:12:00.49,2025-01-20 22:21:00.56,417.269,57.06,110.54,5.23,1
TRP_000015,VH_0011,DRV_0311,Ahmedabad,Pune,COMPLETED,2025-01-20 07:46:00,2025-01-20 10:36:00,2025-01-20 07:46:00.085,2025-01-20 10:36:00.656,183.071,56.86,111.77,8.22,1
TRP_000016,VH_0011,DRV_0311,Ahmedabad,Ahmedabad,COMPLETED,2025-01-20 15:17:00,2025-01-20 16:58:00,2025-01-20 15:17:00.835,2025-01-20 16:58:00.333,122.162,57.13,104.45,5.37,1
TRP_000017,VH_0012,DRV_0312,Bangalore,Bangalore,COMPLETED,2025-01-20 09:57:00,2025-01-20 10:36:00,2025-01-20 09:57:00.771,2025-01-20 10:36:00.659,22.601,42.24,82.8,1.27,1
TRP_000018,VH_0012,DRV_0312,Bangalore,Kolkata,COMPLETED,2025-01-20 10:46:00,2025-01-20 11:23:00,2025-01-20 10:46:00.004,2025-01-20 11:23:00.032,51.488,44.08,82.19,0.83,1
TRP_000019,VH_0013,DRV_0013,Lucknow,Delhi,COMPLETED,2025-01-20 07:37:00,2025-01-20 09:22:00,2025-01-20 07:37:00.003,2025-01-20 09:22:00.375,49.814,36.0,69.66,5.37,1
TRP_000020,VH_0013,DRV_0013,Lucknow,Chennai,COMPLETED,2025-01-20 10:57:00,2025-01-20 11:53:00,2025-01-20 10:57:00.59,2025-01-20 11:53:00.625,39.736,37.23,62.94,2.57,1
TRP_000021,VH_0013,DRV_0013,Lucknow,Lucknow,COMPLETED,2025-01-20 11:56:00,2025-01-20 13:19:00,2025-01-20 11:56:00.804,2025-01-20 13:19:00.138,37.393,36.26,69.3,8.4,1
TRP_000023,VH_0014,DRV_0014,Chennai,Hyderabad,COMPLETED,2025-01-20 17:00:00,2025-01-20 19:13:00,2025-01-20 17:00:00.59,2025-01-20 19:13:00.248,89.326,49.09,97.56,7.52,1
TRP_000024,VH_0017,DRV_0017,Kolkata,Kolkata,COMPLETED,2025-01-20 08:10:00,2025-01-20 10:30:00,2025-01-20 08:10:00.933,2025-01-20 10:30:00.418,124.477,56.25,110.61,6.35,1
TRP_000025,VH_0018,DRV_0318,Pune,Mumbai,COMPLETED,2025-01-20 21:41:00,2025-01-20 23:49:00,2025-01-20 21:41:00.937,2025-01-20 23:49:00.054,132.509,48.64,97.39,8.28,1
TRP_000026,VH_0019,DRV_0019,Lucknow,Lucknow,COMPLETED,2025-01-20 09:37:00,2025-01-20 10:50:00,2025-01-20 09:37:00.585,2025-01-20 10:50:00.286,40.235,42.0,82.58,3.32,1
TRP_000027,VH_0019,DRV_0019,Lucknow,Lucknow,COMPLETED,2025-01-20 12:09:00,2025-01-20 13:07:00,2025-01-20 12:09:00.191,2025-01-20 13:07:00.785,52.887,42.68,81.4,4.22,1
TRP_000028,VH_0019,DRV_0019,Lucknow,Mumbai,COMPLETED,2025-01-20 13:25:00,2025-01-20 15:19:00,2025-01-20 13:25:00.87,2025-01-20 15:19:00.166,169.696,44.24,83.83,2.97,1
